Measure,Month,Value
Mean maximum °F (°C),Jan,60.4 (15.8)
Mean daily maximum °F (°C),Jan,39.5 (4.2)
Daily mean °F (°C),Jan,33.7 (0.9)
Mean daily minimum °F (°C),Jan,27.9 (−2.3)
Mean minimum °F (°C),Jan,9.8 (−12.3)
Source: NOAA[18],Jan,Source: NOAA[18]
Mean maximum °F (°C),Feb,60.7 (15.9)
Mean daily maximum °F (°C),Feb,42.2 (5.7)
Daily mean °F (°C),Feb,35.9 (2.2)
Mean daily minimum °F (°C),Feb,29.5 (−1.4)
Mean minimum °F (°C),Feb,12.7 (−10.7)
Source: NOAA[18],Feb,Source: NOAA[18]
Mean maximum °F (°C),Mar,70.3 (21.3)
Mean daily maximum °F (°C),Mar,49.9 (9.9)
Daily mean °F (°C),Mar,42.8 (6.0)
Mean daily minimum °F (°C),Mar,35.8 (2.1)
Mean minimum °F (°C),Mar,19.7 (−6.8)
Source: NOAA[18],Mar,Source: NOAA[18]
Mean maximum °F (°C),Apr,82.9 (28.3)
Mean daily maximum °F (°C),Apr,61.8 (16.6)
Daily mean °F (°C),Apr,53.7 (12.1)
Mean daily minimum °F (°C),Apr,45.5 (7.5)
Mean minimum °F (°C),Apr,32.8 (0.4)
Source: NOAA[18],Apr,Source: NOAA[18]
Mean maximum °F (°C),May,88.5 (31.4)
Mean daily maximum °F (°C),May,71.4 (21.9)
Daily mean °F (°C),May,63.2 (17.3)
Mean daily minimum °F (°C),May,55.0 (12.8)
Mean minimum °F (°C),May,43.9 (6.6)
Source: NOAA[18],May,Source: NOAA[18]
Mean maximum °F (°C),Jun,92.1 (33.4)
Mean daily maximum °F (°C),Jun,79.7 (26.5)
Daily mean °F (°C),Jun,72.0 (22.2)
Mean daily minimum °F (°C),Jun,64.4 (18.0)
Mean minimum °F (°C),Jun,52.7 (11.5)
Source: NOAA[18],Jun,Source: NOAA[18]
Mean maximum °F (°C),Jul,95.7 (35.4)
Mean daily maximum °F (°C),Jul,84.9 (29.4)
Daily mean °F (°C),Jul,77.5 (25.3)
Mean daily minimum °F (°C),Jul,70.1 (21.2)
Mean minimum °F (°C),Jul,61.8 (16.6)
Source: NOAA[18],Jul,Source: NOAA[18]
Mean maximum °F (°C),Aug,93.4 (34.1)
Mean daily maximum °F (°C),Aug,83.3 (28.5)
Daily mean °F (°C),Aug,76.1 (24.5)
Mean daily minimum °F (°C),Aug,68.9 (20.5)
Mean minimum °F (°C),Aug,60.3 (15.7)
Source: NOAA[18],Aug,Source: NOAA[18]
Mean maximum °F (°C),Sep,89.0 (31.7)
Mean daily maximum °F (°C),Sep,76.2 (24.6)
Daily mean °F (°C),Sep,69.2 (20.7)
Mean daily minimum °F (°C),Sep,62.3 (16.8)
Mean minimum °F (°C),Sep,50.2 (10.1)
Source: NOAA[18],Sep,Source: NOAA[18]
Mean maximum °F (°C),Oct,79.7 (26.5)
Mean daily maximum °F (°C),Oct,64.5 (18.1)
Daily mean °F (°C),Oct,57.9 (14.4)
Mean daily minimum °F (°C),Oct,51.4 (10.8)
Mean minimum °F (°C),Oct,38.4 (3.6)
Source: NOAA[18],Oct,Source: NOAA[18]
Mean maximum °F (°C),Nov,70.7 (21.5)
Mean daily maximum °F (°C),Nov,54.0 (12.2)
Daily mean °F (°C),Nov,48.0 (8.9)
Mean daily minimum °F (°C),Nov,42.0 (5.6)
Mean minimum °F (°C),Nov,27.7 (−2.4)
Source: NOAA[18],Nov,Source: NOAA[18]
Mean maximum °F (°C),Dec,62.9 (17.2)
Mean daily maximum °F (°C),Dec,44.3 (6.8)
Daily mean °F (°C),Dec,39.1 (3.9)
Mean daily minimum °F (°C),Dec,33.8 (1.0)
Mean minimum °F (°C),Dec,18.0 (−7.8)
Source: NOAA[18],Dec,Source: NOAA[18]
